category,bariba,french
Santé et corps,"U ku ra sɔbe, man kun bɛkibu.","Il ne porte pas les charges sur la tête, il les met"
Santé et corps,Kurɔ ka durɔ ba bɛkinɛ ba ka sĩimɔ.,La femme et son amoureux marchent corps contre corpsinacc.
Santé et corps,Barɔ wi u den bɛkurama.,Le malade a commencé à guériracc. nég.
Santé et corps,Dokotoro u wii bɛkurasia.,Le médecin l'a guéri.
Santé et corps,U man nɛn gambo dãagia ye bɛ̃ rari.,Il m'a fendu ma porte en bois à mon corps défendant.
Santé et corps,"Ba torom bĩa ban ka tɔ̃ ru yaaye. birɛ birɛwondu / bia bia wondu/ [bia› bia› woǹdu]margouillat dont l’extrémité de la queue ressemble à une deuxième tête. Ye sa wɔru ge gba, sa birɛ birɛ wondu 25 bii wɛr̃ u/wɛɛ̃ ru biama wa. birɛ birɛ wondu. bia bia wɔnnu. bia bia wɔnna.",Ils ont marqué des traits avec de la cendre pour se rappeler la date. Quand on a creusé le trou on a vu le margouillat dont l’extrémité de la queue ressemble à une deuxième tête.
Santé et corps,"Yè durɔ win biiu barɔ, yerau bikiaru da.","Quand l'enfant de cethomme est malade, il est allé consulter le devin. bikiaru de ."
Santé et corps,"Yè u win gobi ka tam nɔra, yerau sina ka biti. bitiwa [bití b¿‚a/biti kua‚]1. Na ka win bara te biti bia.","Quand il eut dépensé tout son argent pour s'enivrer, il est resté soucieux, dans l’embarras. être confus, troublé, déconcerté, désorienté. Je suis troublé face à son état de santé."
Santé et corps,"Sabin boo si, u ǹ kpɛ̃ u sì di.",Sabi ne pourra
Santé et corps,Win sɔkuru ta bɔbia. Durɔ win baràru ta bɔbia.,"devenir dur. Son igname-pilée est devenue dure. devenir sévère, devenir grave (maladie). Sa maladie s’est aggravée."
Santé et corps,U ka win barɔ bɔɔka kua.,Il a consenti beaucoup de dépenses pour sauver son malade.
Santé et corps,Bɔɔsiabu sɔɔra yɛnu yɛ̃ ro u rawa goo ù n barɔ.,"C’est en saluant sa maisonnée le matin, que le chef de famille se rend compte s'il y a un malade dans la maison."
Santé et corps,barɔ wi u den bɔriama.,Le malade a enfin commencé à grossirinacc.
Santé et corps,Sabi u win kpaasin bɔllu bokuru so.,Sabi a frappé d'un bâton son camarade à l’arrière du crâne.
Santé et corps,Win bɔ̃ siabu bu bii wi alafia kua.,Le fait qu'il ait retiré sa malédiction a permis à l'enfant de recouvrer la santé.
Santé et corps,Kon bukaata ko i ka bɛkura.,Je ferai un gri-gri pour vous guérir.
Santé et corps,u wɛ̃ɛ bure barɔn nukuru sɔɔ.,Il a coupé la corde dans le ventre du malade.
Santé et corps,"Busuka yeni, nɛn saataburugia. Su ku wuu geni du, busuka ya wãa mi.",son. Ce son est pour mon lapin. rougeole (maladie avec boutons).
Santé et corps,"A bii wi bwãa wɛ̃ɛyɔ, boma u kĩ. Na ǹ gberu de gisɔ, bwãa kùn do.",y1) sein. Donne les seins à l'enfant il veut téter . santé. Je n'ai
Santé et corps,I bwãa do? Sa alafia mɔ.,être en bonne santé. Etes-vous en bonne santé ? Nous avons une bonne santé.
Santé et corps,Gusunɔ ù ka bwãa dobu na. Que Dieu apporte la santé. bwãa doba.,.
Santé et corps,"Bii wi u ràa busuka barɔ, u bwãa dora tɛ̃ . bwãa dore. bwãa gabatia [bwãa gabatia]soutiengorge. Bɔna u ku ra bwãa gabatia doke. bwãa gabatia. bwãa gabatii. bwãa gabatiiya.","Cet enfant avait la rougeole, il est guéri maintenant. Bona ne porte :"
Santé et corps,"Bii mɛro win bwãa nɔɔ ga barɔ. bwãa nɔɔwa. bwãa nɔsu. bwãa nɔsa. bwãa nɔɔ bia [bwãa nɔɔ bia]mamelon, taiton. bwãa nɔɔ bia. bwãa nɔɔ bii. bwãa nɔɔ biiya.",Le mamelon de cette mère est malade.
Santé et corps,Win bwɛ̃saya densure.,Il est guéri maintenant deson allergie.
Santé et corps,Bara te ta gbarara.,La maladie a été éloignéeinacc.
Santé et corps,Dokotoro dirɔwa kurɔ wi u sun gbiiri.,C'est à l'hôpital que cette femme nous a surpris par sa mort.
Santé et corps,Biɔ u win bɔrɔba gbiiya dokotoro dirɔ.,Bio a devancé ses amis à l'hôpital.
Santé et corps,Yɛm mɛn dãarabu bu dera bɔ̃ɔ ge ga wasara kua.,Le fait que ce sang ait coulé a beaucoup fait souffrir le chien.
Santé et corps,"Wì u barɔ dãkura, wiya u barɔ go.","Celui qui a achevé le malade, c'est lui qui l'a tué."
Santé et corps,Ba ku ra ka goo dèbun bararu bɔɔsie.,On ne dit :
Santé et corps,A ka defenni na n wiru kpĩiri.,Apporte un oreiller pour que je pose ma tête dessus.
Santé et corps,"rendre droit, étendre, étirer, déployer, redresser. U kpĩa u gãse te dɛmia, alafia ya dua. dɛmiɛ2) corriger, reprendre. Ba sun dɛmia yèn sɔ̃ sa tora.",On nous a corrigé parce que nous avons commis une faute.
Santé et corps,Barɔ u ku ra kpĩ ù di sãa sãa. U tɛtɛ toba u di . Ba wii yɔndo di.,"Le malade n'arrive 2) gagner, battre. Il a joué à un jeu de hasard, il a gagné . traiter de. On l'a traité de sorcier."
Santé et corps,"Barɔ wi, u dibu di bu kpã.",Le malade a mangé beaucoup de pâte diba.
Santé et corps,Nimdirum nɔrubu bu bwãa dobu mɔ .,Boire de l’eau simple est source de santé.
Santé et corps,Sabi u dokotoro diru da.,Chabi est allé à l'hôpital.
Santé et corps,"Na ǹ dom donku barɔ, wasirara. dom domkuwa dom möndu [dòm möndu]sommeil profond. Bii u dom mɔndu kua, sere u wɔruma kpinun di.","Je ne souffre : L’enfant a eu un profond sommeil, il est tombé du lit dom mönda."
Santé et corps,"Tɔn be, ba koo gisɔ dom se ka barɔ wi. Bɛɛ ka dom serubu.",Ces gens là vont veiller avec le malade. dom serubu [dom serubu]action de veiller. Salut pour la veillée !
Santé et corps,"Sɔ̃ɔù ka wiru yɔ, Woru Seko u rà tĩrewa nde dɔ̃ɔ gɛ̃ sɛ̃ ru. dõɔ gɛ̃ sɛ̃ ra. dõɔ gɛ̃ sɛnu. dɔ̃ɔ gɛ̃ɛsɛna.","Avant que le soleil ne soit au-dessus de la tête, Worou Séko devient noir comme un charbon de bois."
Santé et corps,"Boo ni nu barɔ, mɛna uka nì dɔrasi mi.",". . Les cabris sont malades, il les a vendus quand même."
Santé et corps,Kurɔ win wasi yu du.ɛ bwĩsiru ta ra man du.,"être mou. Cette femme a le corps mou. qui fait mal, qui fait souffrir, douleur. Mon abcès me fait mal."
Santé et corps,"U wasikira, ba nùn duku kua.","Il s’est évanoui, on lui a fait une fumigation de gris-gris à feu doux."
Santé et corps,U tisu swɛ̃ɛ ù ka duku ko.,Il a chauffé un médicament pour humer la fuméeinacc. duku mö.
Santé et corps,"Yoka, sɔ̃ɔ ù n dwiya, yera ba ra yabu te ka.","Le soir, quand le soleil s'apaise, ce marché s'anime. ."
Santé et corps,"Win dwaa sesu u nùn kɔ̃ su, yèu barɔ. dwaa sesuwa dwaa sesubu.","Elle était malade, c'est sa belle-soeur qui s'occupait d'elle."
Santé et corps,"Bii ù n barɔ, mɛro kùn kpɛ̃ ù doya wɔ̃ kuru.","s'endormir. Quand l'enfant tombe malade, la mère ne peut :"
Santé et corps,"Mɛ bii wi uka doyasina mi, à n da u ǹ bwãa dowa.","La manière dont l'enfant s'est endormi, peut être qu’il est malade."
Santé et corps,Bara te sɔɔra ga nùn dwɛ̃ɛsi.,. . C’est dans cette maladie qu’il a encore été mordu.
Santé et corps,"Tɔkɔ ten bara te, ta dera ù funɛ wɛnda.",La maladie de la dame a fait qu’elle a perdu sa valeur.
Santé et corps,Gãanikuwa ga dera win wiru ta boo mö.,C'est à cause des poux que sa tête a de la plaie.
Santé et corps,Wasangari sunɔn gaari bekuru ta doodo sãare.,La couverture qui est sous la selle du chef des wasangari a des pompons.
Santé et corps,Barɔ wi ura di gea. Durɔ wi ura sɔmburu ko.,Le malade mange bien. Cet homme travaille bien.
Santé et corps,Barɔ wi gɛdda.,Le malade s'est réveillé.
Santé et corps,"Bake,a n kun da wunɛn durɔn yãnu gɛse.","Baké, ne porte :"
Santé et corps,"Yè barɔ wi u kpana u sĩ, yera ba wii kpĩ gɛsɔ sɔɔ.",Parce que le malade n'a :
Santé et corps,"Woru u win bii gɔra u da u wuu giama. commencer à con- 110 gĩama ginaku naître. Yè u sɔmburu giama, yerau bararu mwara.","connaître et revenir rendre compte. Woru a envoyé son fils faire la découverte du village. Quand il a commencé à connaître son métier, il est tombé malade."
Santé et corps,A win wiru wa nde goo bɛ̃ sa. goo bɛ̃ saa. Goo bararu ta wuu dua. Ba ku ra goo bekuru yinɛ bu yen buram kasu. goo beku- 113 goo bero gooru ra. Goo bero tɔnawa ura wɔru gen sɔmburu ko.,"Voyez sa tête, on dirait un morceau de vieille pirogue. injure): goo bararu [goò bararu]maladie de poule. La maladie des poulets est arrivée dans le pays. goo bekuru/ gorun bekuru [goo bekuru]linceuil. On ne cherche :"
Santé et corps,Kurɔ tɔkɔna nu ra n sɔ̃ gɔɔ manuɔ.,Ce sont de vieilles femmes qui restent loge du corps.
Santé et corps,"Wasangari sunɔn duma ye, guniawa.",Le cheval du roi des wasangaris est gris.
Santé et corps,"U ra n hɛɛ barɔ wuburun saa. Win simba sɔɔ, u kĩ tɔmbu kpuro bù faaba wa.","Il souffre de rhumatisme pendant la saison pluvieuse. projet. Dans son dessein, il veut que tous les hommes soient sauvés. himbawa."
Santé et corps,"trompetteroyale Kãakãagi ya bɔɔra. kãakãagiwa. kãakãagiba, . kãakãagibara. — 2) Kãakãagi,joueur de trompette. Kãakãagi sunɔ u barɔ.",Le chef des joueurs de trompette est malade.
Santé et corps,"Ka kafo, baatɔn kɔnɔ ura yɛm gawe, mìn tɔnu dumɔ.",C'est à l’aide d’une ventouse que le coiffeur bariba aspire le sang à l’endroit où l'on sent des douleurs.
Santé et corps,Ba wuu kangi kua.,Ils ont exorcisé tout le village. .
Santé et corps,"À n kentu swãabuu barɔ, ara ka yɛm yɛ̃ kuwa. kentu swãabuu.","Si tu souffres de la bilharziose, tu urines avec du sang."
Santé et corps,Kiiku kun bwɛ̃ɛbwɛ̃ ɛn duma.,Le cheval dit kiikun'est un cheval de pauvres gens.
Santé et corps,Win yɛm kokubu bu kpã sanam mɛ̀ u tii mɛɛra kua. Yaa yen kokubu bu sɛ̃ .,Quand il s'est blessé son sang a trop coulé. action de dépecer. Il est difficile de dépecer cet animal.
Santé et corps,Ba ku ra bii wɛ̃ɛru kɔbe.,On ne tape :
Santé et corps,Ba wii wi kɔbeeru so sere ta nùn mɛni.,L'enfant est affecté par la talocheet il a mal.
Santé et corps,U man nɛn bii kɔniya.,Il a rasé la tête de mon enfant.
Santé et corps,Mɛna uka kɔsiasi mi baa yèu ka barɔ.,. . Il a payé ainsi sa dette malgré sa maladie.
Santé et corps,A dea barɔ wi kɔ̃ su.,veuille à garder le malade. .
Santé et corps,Tantanɔ ura n kurɔ tim yɛ̃ . kurɔ tɔkɔ koo dabiri/ kàkòm kàkom. kurɔ tɔkɔ koo dabi]scorpion noir. kàkòm kàkom ga ku ra sibu to kam kam. kàkòm kàkomsa [kurɔ toko sere kpeki]. kurɔ tɔkɔ siki kpika [kurɔ tɔkɔ siki kpika]Mollugo nudicaulis (Molluginacées). kurɔ tɔkɔ siki kpika. kurɔ tɔkɔru [kurɔ tɔkɔru]la vieille femme. kurɔ túuru [kurɔ túuru]tuberculose. Kurɔ túuru ta ra tianɛ.,Le célibataire conait le charme pour trouver une femme. Le scorpion noir ne pique : kàkòm kàkomwa. kàkòm kàkomsu. La tuberculose est une maladie contagieuse. .
Santé et corps,A wii leferi dokeo win wirun temɔ.,Mets-lui un oreiller sous sa tête.
Santé et corps,Mare sìkura ba ra wasangari bibu kue.,C'est dans le tombeau de forme rectangulaire qu’on inhume les princes wasangaris.
Santé et corps,Dokotoro dirɔ ba nùn marùsia.,C'est à l'hôpital qu'on l'a fait accoucher.
Santé et corps,"Nɛn mɛɛran sɔ̃ , na ǹ yaa go.","A cause de ma blessure, je n'ai :"
Santé et corps,"Nɛn mɛro bisi u na sanam mɛ̀ nɛn baa u barɔ. mɛro bisiru [mɛro bisiru]Familiarité, parenté. Bɛsɛn mɛro bisiru ta dam mɔ.",Mon parent est venu quand mon père était malade. Notre lien de parenté est très solide.
Santé et corps,Ba ra naa bo gum sawe . naa boo guma.,naa bo gum / naa gum [naà boo gum]beurre issu du lait. On peut passer le beurre issu du lait sur le corps.
Santé et corps,Tɔn ben gaan nɛɛ yi tura nɛnɛ.,card. 800 ; huit cents. Leurs boeufs atteignent les 800 têtes.
Santé et corps,Bè ba ra tɔmbu bɛ̃ re ba nɔni tau.,inv. Ceux qui opèrent les gens sont courageux.
Santé et corps,Ba bè barɔ nɔɔrisia.,On lui demandé de s’occuper du malade. .
Santé et corps,"Bii wi u win nuku dobu tusia. Tɔ̃ ru baatere tè sɔɔ a bwãa do, ade a nuku dobu tusia. nuku dobu tusie.","L'enfant a manifesté sa joie. Chaque fois que tu te sens en bonne santé, manifeste ta joie."
Santé et corps,A doo yararibun mi bàn dee kpùra mɔ.,Va voir chez les bouchers s'ils ont du sang coagulé.
Santé et corps,"Nɛn boo u kpa, win kpaka ya wãa mi. kpaka kpaka [kpaka kpaka]décharné, maigre, flasque. Nɛn bɔ̃ɔ ga kua kpaka kpaka.","Ma plaie est finie, il ne reste que la croûte. Mon chien a maigri."
Santé et corps,Nɛn wasi yu man kpaki ma na wobura.,démanger. Mon corps m’a démangé et je me suis lavé.
Santé et corps,Durɔ wi u kpɛrɛru mɔ wirɔ.,Cet homme a de la cervelle dans la tête.
Santé et corps,"Kurɔ burɔ yɔrɔmandi, à n baba a tii saasi.","La belle femme, c’est tout comme la potion de bonheur, si tu la touches tuoint tout ton corps avec. ."
Santé et corps,Yarufa ba ku ra sàkɔ yaa tem.,La viande de sanglier est interdite aux musulmans.
Santé et corps,"Durɔ win bara tè, ta wii sãwanama.",La maladie de cet homme a commencé à l’effondrer.
Santé et corps,niya yerukoba ra raa ka kɛnɛ.,Les anciens fermaient leur porte avec les feuilles du rônier.
Santé et corps,Búu kurɔbu ba ben santari bɔkua.,Les féticheuses ont mis leur bande sur la tête.
Santé et corps,"Yè kɛkɛ ya wuu dua, Woruwa u gbia u sara. Na gĩa dokotoron kɛkɛ wa ya sara. Bii ù n swaa sara, wiin gari yu sɛ̃ .",". descendre, sauter. Quand la voiture est arrivée au village, Woru a été le premier à descendre. J'ai vu hier la voiture du médecin qui passait. avoir mauvais caractère, avoir de mauvaise habitudes. Quand un enfant a des mauvaise habitudes c'est très compliqué."
Santé et corps,Ba durɔ tɔkɔ ten sara swãabu mö gisɔ. sara swãabuuwa  sara swãabunu. sara swãabuna,C'est aujourd'hui qu'ils font la cérémonie du 7è jour de ce vieux.
Santé et corps,"Durɔ win sariru, bè ba tie ba ǹ kpɛ̃ bù gãanu ko. Durɔ wì u barɔ mi, u sariru kua gĩa.","En l'absence de cet homme, ceux qui restent ne pourront rien faire. L'homme qui était malade hier est décédé."
Santé et corps,Gusunɔ u man sekuru yara nɛn bararu sɔɔ.,Dieu m'a glorifié quand j'étais malade.
Santé et corps,"Yè durɔ wi u barɔ, yerau sɛ̃ siama.","Lorsque cet homme est malade, il est devenu difficile."
Santé et corps,"Yè u barɔ, yerau sie poo sɔɔ.","Lorsqu’il était malade, il a vomi dans un pot. ."
Santé et corps,"Siku gɔrɔrɔru, tera ba ra wasangari bii kue.",On fait une tombe allongéeau wasangari.
Santé et corps,Babɔ̃ɔ goru sikia ba 231 sikiabu simba tema.,Ils ont déterré le corps d’un chien pour manger.
Santé et corps,Bagirin baaba tɔnweron sina kɔna sɔɔ win sesu gobi di n banda.,"Quand on rasait la tête de l'oncle de Baguiri, sa soeur a beaucoup dépensé. dépensé."
Santé et corps,"Tim mɛ̀ ba man kua gĩa, mɛna mu nɛn boon wiriribu sosi.","Le médicament qu'on m'a fait hier, c'est lui qui augmenté la douleur de ma plaie."
Santé et corps,"Sɔbu ni, nu kpã, u ǹ kpɛ̃ u nì sɔbe.","Les bagages sont grands, il ne peut :"
Santé et corps,"Na nɛn sɔbunu kpana, ana a man sɔbi, Sabi.",Je n'ai nacc.
Santé et corps,"À n tura yɛnuɔ, wara u koo nun sɔbu nini sɔbia? 239 sɔbiama sɔkana","A ton arrivée à la maison, qui va te décharger?"
Santé et corps,Durɔ wi u win sɔbunu kpana.,Cet homme n'a :
Santé et corps,"A sɔbunu ganu tama, n nun mɔri.","Apporte certaines charges, je vais t'aider à les porter."
Santé et corps,"Yè nɛn kurɔ u wuu dɔɔ, yerau win sɔnditia sua.","Quand mon épouse allait en voyage, elle a pris son voile."
Santé et corps,A wunɛn sɔbunu sɔɔma.,Porte tes bagages et viens avec.
Santé et corps,"Yãa ni nu koo sɔɔra, nu ǹ bunu.","Les bagages peuvent être portés, ils ne sont :"
Santé et corps,"Yè bature ba wuu dumma, yera ba tɔmbu yãnu sɔɔsia.","Quand les Européens sont arrivés, ils ont fait porter leurs bagages aux gens du pays."
Santé et corps,Bii wi u sɔrɔnu barɔwa mi.,L’enfant souffre de la gale.
Santé et corps,Goo ù kù raa nɛɛ wiru goo ù sere nɛɛ sɔrɔru. gĩa sɔrɔru ta man sura.,Que personne ne se plaigne de maux de tête encore moins de maux de ventre. Hier une hernie m'a terrassé.
Santé et corps,"À n wii sura, wɔri kùn kpa. Sɔbu nì ba wii sɔbi mi, u nì sura.","Si tu le fais tomber, la bagarre n'est 2) faire tomber une charge de sa tête. Il a fait tomber la charge qu'on lui a mise sur la tête."
Santé et corps,"Piétiner pluisieurs fois, masser. Na wasira, i na i man taaku.","Je suis fatigué, venez me masser le corps."
Santé et corps,A tãaru koowo n nun sɔbi. tãara tãanu.,"Fais un cous- sinet, je vais te charger tes bagages."
Santé et corps,Su win kɔ̃ ra tanɛ ka nim sum.,masser de toutes ses forces; appliquer avec force une chose chaude sur l'endroit malade. Massons sa jambe à l’eau chaude.
Santé et corps,win wirɔ tari bɔra kùn bɛɛrɛ mɔ.,Sur sa tête la tresse n'est :
Santé et corps,Wasangari bibu ba ra tarakpe kã.,Les wasangari ne se passent :
Santé et corps,"Biɔ u win diru tãwa. Bibu ba di ba deba, ba tii dibu tãwa.","répandre sur une surface ; étaler sur une surface ; Bio a crépi sa case. Les enfants ont mangé, ils sont rassasiés, et maintenant ils étalent la pâte sur leur corps."
Santé et corps,Barɔ wi u tɛ̃ kura.,Le malade est délivré de sa maldieinacc.
Santé et corps,"Yè barɔ wi u tɛ̃ kurama, yera ba ka sii dokotoro dirun di duka sua. 268 tɛk̃ iari tɛriama tɛ̃ kuramɛ.","Quand le malade a commencé à se sentir mieux, ils se sont sauvés avec lui de l'hôpital."
Santé et corps,"Wira ta man soomɔ, a man tibu kɛ̃ .","J'ai des maux de tête, donne-moi un médicament."
Santé et corps,Ba ka barɔ wi da tim nɛmɔn mi. tim nɛndu [tim nɛndu]travail du guérisseur. U tim nɛndu da.,Ils ont emmené le malade chez un guérisseur. Il est allé se faire soigner chez un guérisseur.
Santé et corps,Ba tireru dɔramɔ fɛɛriɔ. Na nɛn bɔrɔn tireru wa gisɔ.,"papier, lettre. On vend des livres à la boutique. J'ai vu la lettre de mon ami aujourd'hui3) livre saint: bible, coran."
Santé et corps,"Barɔ wi u kpana ù yɛ̃ ku, yera win tɔbu ga mɔsa.",Le malade n'a :
Santé et corps,Túa ba rà ka biin nɔɔ fɔ̃ɔ tie.,feuilles amères d'un arbuste. On emploie cette feuille pour soigner la bouche de l'enfant.
Santé et corps,A tukama n nun gari sɔ̃ .,incline la tête pour que je te parleinacc.
Santé et corps,Sunɔ u gbɛnɔ wi tukasia batumaɔ.,Le chef a fait incliner le voleur en public.
Santé et corps,"Ye ba nùn gari sɔ̃ɔwa, yerau tuke.","Avoir la tête baissée. . Quand on lui a parlé, il a baissé la tête."
Santé et corps,A twɛ̃ɛma a sun mɛɛri dãru wɔllɔ.,commencer à regarder en haut en penchant la tête. Lève les yeux et regardenous sur l'arbre.
Santé et corps,"Yè wasam u man kɔnimɔ, u man kɔ̃ɔ mura.","Quand le coiffeur me rasait, il m'a blessé avec la lame."
Santé et corps,Wasangari u seewa u win wuu dɔɔ.,w1) Aventurier. Un aventurier partait en voyage.
Santé et corps,Wasa›ngari biiu ku ra tarakpen biru yari. wasangari bibu wasangari biba .,Les princes ne se passent :
Santé et corps,Wasi wiriribu bu nùn bande. Barɔn wasi yi yu sanɔ kua.,La douleur est trop forte pour lui. santé. La santé du malade s'est améliorée.
Santé et corps,Na ǹ maa wii beeru nɔɔre. wii beera wĩi bwãru /wĩi bɔndu [wĩi bɔndu/ wĩi bwãru ]flambeau. Ba wĩi bwãru bia bù ka yam mi dɔ̃ɔ sɔ̃ ra. wĩi bwãra,Je n'ai plus senti les maux de tête. Ils ont manqué un flambeau pour mettre feu à cet endroit.
Santé et corps,Durɔ wi u sĩimɔ wii kpiriru.,Cet homme marche sans chapeau.
Santé et corps,Na ǹ gĩa doye ka wii soberu.,Je n'ai :
Santé et corps,U ka wiiro yinna. wĩiroru / wɛ̃ roru / [wðiròru : wɛ̃ roru]stérilité. Wɛ̃ roru bara girira.,Il a rencontré un fou. La stérilité est une grande maladie.
Santé et corps,U ǹ wiru do.,tête.
Santé et corps,Sunɔn kurɔ u wiru pɔllu pota. wiru pɔllu pote. wiru pɔru woka/ pɔllu woka [wiru pru woka]raser la tête. U koo wiru pɔru woka. wiru pru woke.,La femme du chef s'est rasée. Il va se raser la tête.
Santé et corps,"Bɛsɛn yiini u we, su wiru kpĩ. Su yinni wiru kpĩiya . wiru kpĩimɔ.","Notre patron arrive, baissons la tête. Soumettons-nous à notre supérieurinacc."
Santé et corps,Durɔ win bara te ta nùn wora. 296 worama /woorama wɔba,maîgrir. La maladie de cet homme l'a fait maigrir.
Santé et corps,U bara sere uka woorasi.,. . Il a été malade au point qu'il a maigri.
Santé et corps,Baràru ta ka wootiro nɛ.,La maladie peut être source de vertige.
Santé et corps,Bibu ba woruku bara yam kpuro.,Les enfants sont malades partout de la variole.
Santé et corps,"Wɔ̃ koru, bara kɔ̃ sura.",La cécitéest une mauvaise maladie.
Santé et corps,Waa ya man dɔma sere ba wɔkɔturɔbu bwɛnya.,Un serpent m'a mordu au point que les gens sont allés chercher les gourdes à gri-gris.
Santé et corps,"durɔ wi, u wiriribu nɔɔmɔ yam mi.",Cet homme souffre beaucoup.
Santé et corps,"Yè win biiu barɔ, yerau wururama.",Parce que son enfant est malade elle a commencé par se faire des soucis.
Santé et corps,Yãtam mu ra nia ganɛ.,La salive apaise la douleur de la piqûre du scorpion.
Santé et corps,"Bɛsɛn wasangari sunɔɔn yaba ye, ya burabu wɛ̃ ra.",Le boubou du chef des wassangari a été bien cousu.
Santé et corps,Yako gera gbɛnɔ wi u sɔɔwaa uka doonɔ.,g1) gros sac en raphia. C’est legros sac que le le voleur porte sur sa tête pour s’en aller. 1. 000 ; un million. .
Santé et corps,"Ye u bara, u yandunia gia.","Quand il a eu cette maladie, il s'est rendu compte de ce qu'est le monde."
Santé et corps,"Tɔnu a bararu yanku, n kerea bararu kpeesia.",Prévenir la maladie vaut mieux que la guérir.
Santé et corps,Boo wi u durɔ wi yasu.,cingler. La plaie fait mal au monsieur. nég.
Santé et corps,Durɔ win yɛm mu yari sere u wasikira.,Il a versé son sang au point qu'il en est fatigué.
Santé et corps,Nɛn wasiya yu yɛmia yɛmɛɛ.,Mon corps s'est refroidi complètement.
Santé et corps,Yɛmɔru bara kɔ̃ sura.,La paralysie est une mauvaise maladie.
Santé et corps,"A wa biiu wasi sãa kàsa kàsa, nde yinu.",Cet enfant a le corps rugueux comme un lézard.
Santé et corps,"Gura yàn nɛmɔ, ba ra bii gɔriwa ù yɔ̃ɔyɔ̃ ɔru mwama. yɔ̃ɔyɔ̃ ɔra. yɔ̃ kpɛkpɛ/ yɔ̃ɔ kpèru","S'il pleut, on envoie un enfant chercher une charge fictive."
Santé et corps,Ben bara te sɔɔra ba gum yɔwasi.,. . . Ils ont fait le beurre dans leur maladie.
Temps et dates,"Sa ǹ gĩa di sa ka kpunɛ, abarakunkunku ga bɛsɛn kpee wɔri.",Hier nous n'avons :
Temps et dates,Gisɔra bɛsɛn wuun aburu.,C'est aujourd'hui le marché de notre village.
Temps et dates,Woru ura win agbada sebe tɔ̃ɔ bakaru sɔnu.,Woru porte son grand boubou les jours de fête.
Temps et dates,Ben wuun yabura adaamisi. Adaamisi sɔna bɛsɛn wuun yaburu.,Le jour du marché de leur village est jeudi. Le jeudi est le jour du marché de notre village.
Temps et dates,Adaaruba sɔ̃ nu u koo wuma. Adaaruba baayere sa ra kanaru de bɛsɛn kana dirɔ.,Il va rentrer le mercredi. Tous les mercredis nous allons à la prière dans notre chapelle.
Temps et dates,Gin teerun alaamisiwa u na.,C’est le jeudi dernier qu’il est venu. .
Temps et dates,Alaaruba sɔ̃ na bɛsɛn wuun yaburu.,y . mercredi. C'est mercredi le jour du marché de notre village.
Temps et dates,Gĩa amadaare bɛsɛn sɔɔ u turuma. Ginaku amadaare sa bɛsɛn gberu wuka sakpa.,"Hier à cette heure-ci notre hôte était arrivé. L'an dernier à cette époque, nous avions fini de nettoyer notre champ."
Temps et dates,"Gĩa amadiire, bɛsɛn sɔɔ u turuma.","Hier à pareille heure, notre étranger était déjà arrivé."
Temps et dates,Bɛsɛn saa amakɛ suabu bu kpeemɔ.,"En notre temps, le transport en hamac existe de moins en moins."
Temps et dates,"Amɛn biru, win tundo u koo bandu di.","D'ici peu de temps, son père règnera sur le trône."
Temps et dates,"Gunuban baan ananawa ba kua gin teeru. Woru Yorun anana sɔɔ, win bibu ba beka kɛ̃ ru kua mi gem gem.","grande cérémonie d’enlèvement de deuil. C’est la cérémonie funéraire du père de Gunu et ses frères qui s’est déroulée avant-hier. distribution de dons aux griots au cours des funérailles. Pendant la cérémonie funéraire de Worou Yorou, ses enfants ont distribué beaucoup de pagnes."
Temps et dates,andunia sere suuru. Tɔ̃ɔ bakaru sɔnu andunia ya mɛnna sunɔn kɔnnɔwɔ.,"La vie ! c'est la patience. Le jour de fête, une foule s’est invitée dans la cour du roi."
Temps et dates,Anna wunɛn bii ? Alafia Comment va ton fils? anna yɛnu 'comment va la maison ? anna wunɛn kurɔ 'comment va ta femme ? anna wunɛn durɔ 'comment va ton mari ? anna a kpuna 'comment as-tu dormi ? anna a sɔ̃ɔsɔɔ kua 'comment passes-tu la journée'; Anna a yabe buraru wa ! anna n kuawa ?,comment va. . . ? '; anna bii 'comment va l'enfant ? '; anna bibu 'comment vont les enfants ? '; anna wasi 'comment va la santé ? '; '; '; '; anna a yoka kua 'comment passes-tu la soirée ? '. comment! quel . . . ! Quelle belle chemise ! Que se passe-t-il ?
Temps et dates,Arari u nɛɛ ita go gisɔ. Aburu sɔnu araribu ba ra nɛɛ go bɛsɛn wuuwɔ ka tɔ̃ɔ bakaru sɔnu.,"Le boucher a abattu trois boeufs aujourd'hui. Le jour du marché et les jours de fête, les bouchers abattent des bœufs dans notre village. ."
Temps et dates,Gĩan di na araaru kua yè na ǹ bɛɛ wa.,"Depuis hier, je me suis inquiété parce que je ne vous ai :"
Temps et dates,Sa ko yam mi da arusuma baka yè ya we.,Nous irons à cet endroit le vendredi prochain. .
Temps et dates,Arusuma buu sa ku ra sɔmburu de.,"Le dimanche, nous n'allons :"
Temps et dates,"asa, sa ǹ gam dɔɔ gisɔ?",. . ? n'est-ce . ? est-ce qu'on n'ira pas quelque part aujourd’hui ?
Temps et dates,Asibiti yoka sa ku ra sɔmburu ko.,Le samedi soir nous n'allons :
Temps et dates,Ataraatawa wuu mi ba rà yaburu ka.,C'est le mardi le jour du marché de ce village.
